"","mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label","CallClass"
"209",40955.7248749709,5456484.89595265,8338.35316939022,-141.876434450545,-1500,-0.0019854765826387,16,-2.42475272696825,"flat-z harmx","1"
"210",41230.6589232073,4601735.02420394,6300,-108.876089380523,-2000,-0.00156801300640828,13,-2.12193159330079,"flat-z","1"
"211",40235.2530424495,870690.40961073,3900,-37.6648237215514,2737.34787752414,-0.00102663714960066,18,-1.95686998929166,"flat harmx","1"
"212",40618.0842613441,3264249.85861652,6470.52873638683,-78.8143382378931,-1900,-0.0012079311810759,13,-2.10948846303213,"flat-z harmx","1"
"213",41875.0801158784,5562178.04239184,8161.07924459635,-107.787820556437,-1500,-0.00146476111841199,19,-2.34132592131048,"flat-z harmx","1"
"214",40748.472035859,2764406.38826293,6979.44902486895,-66.6007939798811,-1900,-0.0010657720746103,11,-2.24999264287488,"flat-z harm","1"
"215",46940.0317335113,286081.032211958,1500,34.1859806115248,500,-0.00218350981802584,19,-3.19662521593338,"flat","1"
"216",47495.3052693413,102519.184368994,1000.00000242322,18.7326544313016,500,-0.00188277709667255,24,-3.16060691674423,"flat","1"
"217",40399.1683034198,7244928.35128653,9613.88565536343,-141.900371491948,-1900,-0.00160285982583093,13,-2.14814873968963,"flat-z harmx","1"
"218",40096.6616666731,7518750.72174148,9006.23712815269,-155.559043148882,-2000,-0.00180628060904513,15,-2.25474776357989,"flat","1"
"219",40964.9977269126,6079101.95406791,7300,-118.078175761582,4591.46240260869,-0.00147279226296963,14,-2.36233509739982,"flat","1"
"220",43685.139289641,3825263.75633535,4800,-119.098437424868,-1323.67297588885,-0.00218839247427157,28,-2.59427518684337,"flat-z","1"
"221",40338.356446204,3691344.54609723,8100.53609512838,-90.2269092822663,6100.53609512838,-0.00128975845570108,13,-2.19283422903493,"complex","3"
"222",42210.9377898687,3727072.44724073,6658.45140709784,-113.357715812229,-2500,-0.00196107736334474,15,-2.11361899348142,"flat-z","1"
"223",42311.1541585397,4312810.74794383,6300,-126.544273280718,-2500,-0.00203202204380745,15,-2.26432638087696,"flat-z harm","1"
"224",42556.9533241812,4076560.98541399,5300,-123.714846048244,-2000,-0.00213654551097188,17,-2.27886856637673,"flat-z harmx","1"
"225",40291.7765003077,1267652.0247316,3400,-69.4672639942138,1528.33883549929,-0.00217583321250716,22,-2.33614187652289,"flat harmx","1"
"226",41134,2790453.06122449,5400,-90.0504201680672,-2400,-0.00178225875268701,18,-2.47218787738023,"flat-mz harm","1"
"227",46410.309288556,64434.6248824547,1015.46442779956,10.1924493139098,500,-0.000885545648200513,13,-3.24676102835774,"flat harmx","1"
"228",46735.2185955659,3750926.64027603,6409.76755542645,-111.130607719218,-2500,-0.00187715981620875,31,-2.94313982343482,"flat harmx","1"
"229",42786.0515865351,6901112.9274471,7621.64205521488,-116.304300237503,3400,-0.0014506152628095,21,-2.79034544382904,"flat-mz harmx","1"
"230",39619.6760994655,268643.351289832,2047.8918928682,-16.7645327161053,-1203.20928072444,-0.000889796321640526,26,-2.64366794217294,"flat harm","1"
"231",40268.1534004466,688102.540228128,3884.45101375826,47.5978956067804,-880.611032529341,-0.00168362511673745,26,-2.82514597297846,"flat harmx","1"
"232",44931.5589887137,3647227.97753323,6300,90.1263134526541,-3500,-0.00138298487773017,37,-2.86821895325503,"flat-z harmx","1"
"233",45984.8665329756,150910.640657189,1599.80326258193,1.10543238524397,-900,-0.000307565109211187,26,-2.82514597297846,"flat harmx","1"
"234",49969.1078262302,3223514.86010575,6115.8199546912,46.8431629555274,-2215.8199546912,-0.000928210398525647,25,-2.85076650330381,"flat harmx","1"
"235",48579.1252089348,1391536.60224065,4577.0583836087,-68.7455161639706,-1577.0583836087,-0.00201016859981892,29,-2.78223509929159,"flat harmx","1"
"236",59263.0175400552,4427205.30273297,5900,138.386353445201,1000,-0.00237984091954919,28,-4.81589121730374,"short-ur","2"
"237",68254.0581347157,546613.256381978,2425.04467641882,40.2853620892383,1000,-0.00184466032478163,30,-5.27851473925186,"short-c","2"
"238",61619.973086891,1350541.95171916,3400,76.1074071641673,1000,-0.00229150806535226,30,-5.27851473925186,"short-ur","2"
"239",48890,241734.693877551,1500,-13.8055222088836,-500,-0.000940274043548284,19,-2.7333680090865,"flat","1"
"240",45595.2500172898,1099187.97304265,3900,-48.5125367719505,-2700.22600559633,-0.00143386466459499,19,-2.52823177452637,"flat","1"
"241",40886,4349800,6300,-111.121248499399,1000,-0.00168527459131668,14,-2.19283422903493,"flat-z harmx","1"
